index,match_id,duration,first_blood_time,radiant_win,region
198,7718021044,1909,93,False,5
199,7718020047,2038,101,False,3
200,7718009592,1929,86,False,3
201,7718008889,1735,234,True,3
202,7717983327,1991,8,True,3
203,7717980614,1766,493,True,3
204,7717978704,1548,318,False,3
205,7717944337,1837,345,False,3
206,7717870995,1820,120,False,3
207,7717846183,1633,132,False,3
208,7717821441,1626,56,False,3
209,7717794851,1772,203,True,3
210,7717767588,1740,125,True,3
211,7717732938,1831,228,True,3
212,7717693287,1787,410,True,3
213,7717656178,1686,54,True,3
214,7717607009,1951,274,True,3
215,7717574951,1847,215,True,3
216,7717481930,2086,367,False,3
217,7717369079,2228,251,True,3
218,7717352079,1847,100,True,3
219,7717317517,1656,151,False,8
220,7717277018,1592,116,False,3
221,7717209834,2645,2,True,8
222,7717196941,1888,140,False,3
223,7717120872,1400,113,True,8
224,7717035183,1616,35,True,3
225,7716979372,2696,105,True,8
226,7716934124,1738,545,True,3
227,7716909071,1435,232,True,8
228,7716869143,1593,271,True,3
229,7716813674,1790,3,True,8
230,7716806803,1708,209,False,3
231,7716796011,1313,68,False,3
232,7716724170,1594,15,True,3
233,7716697572,1496,189,True,3
234,7716693953,2116,0,False,8
235,7716665819,1055,0,True,5
236,7716665738,2106,119,False,3
237,7716663098,2029,146,True,5
238,7716653833,1727,112,True,3
239,7716650838,1909,21,False,3
240,7716635117,1145,104,False,5
241,7716634082,1856,8,True,8
242,7716603570,1937,163,True,3
243,7716598778,1917,369,False,3
244,7716595869,1316,0,False,5
245,7716593877,1663,266,True,3
246,7716592900,2068,0,True,5
247,7716557334,1870,111,False,3
248,7716552395,2364,337,True,8
249,7716546710,2266,125,False,3
250,7716519574,1750,95,True,3
251,7716508168,1817,313,False,3
252,7716501701,973,0,True,5
253,7716501633,1855,17,False,3
254,7716493932,3453,128,True,5
255,7716491024,2544,27,False,8
256,7716472947,1794,9,False,3
257,7716470173,1292,197,True,3
258,7716457963,1777,0,True,5
259,7716451058,2179,212,True,3
260,7716439318,2258,62,False,5
261,7716436472,1607,246,False,3
262,7716426048,1922,108,True,3
263,7716422844,1234,3,True,5
264,7716400418,1745,0,True,3
265,7716399640,2615,78,True,3
266,7716393789,1530,355,False,3
267,7716375925,2965,105,False,5
268,7716367657,1856,190,True,3
269,7716359742,1649,145,True,3
270,7716354857,1732,126,True,3
271,7716332401,1814,165,True,3
272,7716323795,1848,157,False,3
273,7716322344,1853,8,False,3
274,7716291900,1776,3,False,3
275,7716170482,1749,7,False,3
276,7716145879,1660,54,True,3
277,7716116360,1687,228,True,3
278,7716079995,2084,17,True,3
279,7716042436,1725,114,True,3
280,7715989130,2087,187,False,3
281,7715966154,2106,0,False,3
282,7715941061,1737,114,True,3
283,7715872732,2964,134,True,3
284,7715856875,1752,89,False,3
285,7715754608,2800,120,True,3
286,7715739072,2213,229,False,3
287,7715724468,1406,250,True,3
288,7715661801,1622,85,False,3
289,7715623034,2354,162,True,3
290,7715590266,1128,520,False,3
291,7715583261,2639,204,True,3
292,7715552818,1215,350,True,3
293,7715546590,1318,68,True,3
294,7715502520,2985,207,False,3
295,7715446234,1277,74,True,3
296,7715391044,1778,108,False,8
297,7715358499,1899,0,True,3
298,7715285990,1547,0,False,5
299,7715283780,1787,89,True,3
300,7715272414,2362,105,True,8
301,7715270814,1946,295,True,3
302,7715176146,1348,54,False,3
303,7715150703,2350,5,False,8
304,7715150612,1976,217,False,3
305,7715135064,905,137,True,3
306,7715082029,1451,298,True,3
307,7715066528,1964,153,True,3
308,7715052743,2897,171,False,8
309,7715021062,1901,402,True,3
310,7715018123,1218,36,False,3
311,7714982068,811,94,False,3
312,7714976546,1210,131,True,3
313,7714968563,2414,0,False,8
314,7714935789,1571,149,False,3
315,7714924028,1473,22,False,3
316,7714911971,2074,0,True,5
317,7714910651,1672,242,False,3
318,7714873004,1506,0,False,5
319,7714867034,2163,6,True,3
320,7714860593,1588,443,True,3
321,7714833927,1749,197,False,3
322,7714827417,2019,92,False,5
323,7714813107,1853,0,True,5
324,7714806986,1714,304,True,3
325,7714802177,2169,0,True,3
326,7714758856,2033,364,False,3
327,7714740749,2422,40,True,3
328,7714738780,2147,127,True,5
329,7714736567,1959,218,True,3
330,7714728449,1444,142,True,5
331,7714706786,1796,134,False,3
332,7714696863,1714,468,True,3
333,7714685458,1717,12,False,3
334,7714675274,1609,115,False,5
335,7714673166,2118,107,True,5
336,7714655732,1804,434,True,3
337,7714647045,2137,66,True,3
338,7714629441,2049,0,False,3
339,7714613007,1796,0,False,5
340,7714607060,2285,448,True,3
341,7714605359,1777,684,False,3
342,7714570780,1932,273,False,3
343,7714570688,1637,585,True,3
344,7714569728,1616,288,True,3
345,7714529165,1845,203,True,3
346,7714412554,1284,147,True,3
347,7714381774,1992,50,True,3
348,7714349570,1813,188,True,3
349,7714311242,1959,147,False,3
350,7714275206,1739,122,True,3
351,7714213131,2166,171,True,3
352,7714178496,1653,47,True,3
353,7714131849,2055,45,False,3
354,7714052316,4066,141,True,3
355,7713958967,1971,0,True,3
356,7713735524,1422,0,False,3
357,7713730879,1710,5,True,3
358,7713687021,1967,108,True,8
359,7713652088,2556,10,False,3
360,7713629244,2136,127,True,3
361,7713600309,2130,34,True,3
362,7713562419,2356,3,False,8
363,7713521815,1791,59,True,3
364,7713503673,2189,27,True,3
365,7713445858,1470,262,False,3
366,7713365391,2195,11,False,3
367,7713350064,1796,145,True,3
368,7713324339,1545,0,False,8
369,7713275839,2175,6,False,3
370,7713270376,1851,83,False,3
371,7713259979,1557,0,True,8
372,7713198792,1828,96,False,3
373,7713192744,1499,187,True,8
374,7713190110,1563,328,True,3
375,7713161443,1739,214,True,3
376,7713151301,2031,0,False,3
377,7713133788,1607,164,False,3
378,7713112464,1657,0,False,3
379,7713105747,1595,54,True,3
380,7713102484,2681,0,False,8
381,7713077276,1966,0,False,3
382,7713069651,1246,7,False,3
383,7713057229,1611,396,False,3
384,7713029702,2214,14,True,13
385,7713028455,2351,0,True,8
386,7713025135,1426,96,True,3
387,7713019531,1984,84,True,3
388,7713006588,1949,102,True,3
389,7713002399,1042,5,True,5
390,7712972130,2237,377,True,3
391,7712966607,2039,119,False,3
392,7712966261,1884,81,False,13
393,7712961635,1338,106,False,5
394,7712954671,1838,116,True,3
395,7712942296,3492,0,True,8
396,7712933529,1606,74,True,3
397,7712906650,2525,123,True,3
398,7712905778,2124,186,True,3
399,7712890964,1669,299,False,3
400,7712890089,1605,104,True,5
401,7712863091,2174,139,False,3
402,7712860155,1400,304,True,3
403,7712857629,2305,118,False,3
404,7712857544,3840,187,True,5
405,7712848206,1243,110,True,5
406,7712830113,1709,197,False,3
407,7712823343,1585,132,False,3
408,7712821398,1985,10,False,3
409,7712805148,2034,233,False,5
410,7712788245,1462,83,False,3
411,7712785739,2018,265,True,3
412,7712781319,2520,48,False,3
413,7712757725,1792,8,True,3
414,7712757344,1505,349,True,3
415,7712753255,1681,89,False,3
416,7712717429,1515,122,False,3
417,7712625552,1725,223,False,3
418,7712595420,2009,194,True,3
419,7712562363,1759,52,True,3
420,7712522748,2378,54,False,3
421,7712477336,1814,170,False,3
422,7712426545,2126,252,False,3
423,7712356309,2317,88,False,3
424,7712296639,3220,103,True,8
425,7712230342,1805,4,False,8
426,7712143495,1913,39,False,8
427,7712091880,2600,148,False,8
428,7712088243,1851,288,False,3
429,7712065678,2000,39,True,8
430,7712057373,1964,99,True,3
431,7712019422,1654,6,True,3
432,7711967460,1934,90,False,3
433,7711964486,1462,143,True,8
434,7711925084,2047,114,True,3
435,7711907820,1487,7,False,8
436,7711862862,1824,7,False,3
437,7711832822,1776,0,False,3
438,7711822776,3137,7,False,8
439,7711815593,1428,7,True,8
440,7711751527,1753,92,True,3
441,7711674753,1239,4,False,3
442,7711655309,2878,288,True,8
443,7711654395,2489,0,False,3
444,7711588822,1326,0,True,3
445,7711538240,2943,71,True,8
446,7711532716,2419,0,False,8
447,7711517132,1635,0,True,3
448,7711512501,2415,0,True,3
449,7711469199,1554,10,True,8
450,7711456977,1548,3,True,8
451,7711397400,2719,138,True,3
452,7711369388,1828,0,True,8
453,7711357929,2359,92,True,3
454,7711357425,1979,181,True,3
455,7711344401,1875,58,True,3
456,7711314728,1454,449,False,3
457,7711314582,1680,24,False,8
458,7711311664,1558,138,False,3
459,7711305195,1482,63,True,3
460,7711290391,1357,0,True,13
461,7711267596,1427,14,True,8
462,7711259492,1191,0,True,5
463,7711257322,1806,202,False,3
464,7711257299,2040,242,False,3
465,7711256295,2287,120,False,8
466,7711246747,1739,105,True,3
467,7711219886,1222,251,False,5
468,7711216591,1539,198,False,3
469,7711215296,1615,6,False,8
470,7711211671,2692,166,False,13
471,7711210140,1923,61,True,3
472,7711185091,2417,54,False,3
473,7711163629,1666,13,True,3
474,7711162522,2259,239,False,3
475,7711148981,1283,42,False,5
476,7711146709,2684,0,False,8
477,7711146561,1705,215,False,3
478,7711127778,1509,203,False,3
479,7711116477,1690,0,True,13
480,7711114270,1877,150,True,3
481,7711106370,1656,77,True,8
482,7711106298,1552,51,False,5
483,7711103718,1897,15,True,3
484,7711096659,1484,160,True,3
485,7711077450,1783,116,True,3
486,7711071724,1770,189,True,3
487,7711069621,1633,215,True,8
488,7711066250,1540,393,True,3
489,7711052767,3144,343,False,13
490,7711043876,1603,249,True,3
491,7711041474,1193,487,False,3
492,7711031131,2591,231,True,3
493,7711008417,1663,143,False,3
494,7711008362,1950,407,False,3
495,7711007510,2093,24,True,5
496,7710992899,2182,96,True,3
497,7710963376,1726,79,True,5
498,7710962915,1757,216,False,3
499,7710889030,1830,46,True,3
500,7710865731,1798,308,False,38
501,7710859669,1903,152,True,3
502,7710826533,1639,120,True,2
503,7710820487,2662,73,True,3
504,7710810326,2286,0,False,2
505,7710788992,1594,269,False,3
506,7710754545,3885,128,True,unknown
507,7710752429,1682,191,True,3
508,7710741990,3035,246,True,2
509,7710704088,1788,703,True,3
510,7710695923,1969,0,True,15
511,7710672079,1821,40,True,2
512,7710647376,1947,244,True,3
513,7710595004,2381,204,False,15
514,7710592024,1636,200,True,3
515,7710441464,1670,0,False,38
516,7710407901,3188,70,True,unknown
517,7710348304,2411,284,True,3
518,7710315032,2764,68,True,2
519,7710290849,1608,51,False,unknown
520,7710207360,3086,43,False,3
521,7710132855,2141,0,True,8
522,7710095633,1856,0,True,3
523,7710066098,2774,8,True,3
524,7710041298,1558,37,False,8
525,7709979028,1998,152,False,3
526,7709837587,1925,13,False,3
527,7709772208,3430,159,False,3
528,7709733387,1371,1,False,3
529,7709595106,3280,80,False,3
530,7709524399,2022,217,True,8
531,7709510018,2952,181,False,3
532,7709455395,1860,183,False,8
533,7709437276,3339,320,True,5
534,7709422646,1377,101,True,3
535,7709405800,2201,122,False,5
536,7709363487,1794,149,True,3
537,7709348548,1444,0,True,5
538,7709344568,1775,1,True,8
539,7709340060,2944,62,False,5
540,7709309263,1781,46,True,3
541,7709289507,1622,68,False,8
542,7709263187,2974,103,True,5
543,7709258899,1500,6,False,3
544,7709227575,1835,246,False,5
545,7709218477,1412,69,True,5
546,7709207129,1869,478,True,3
547,7709165530,1601,105,False,3
548,7709153245,1583,113,False,5
549,7709147188,2946,0,False,5
550,7709124116,1568,60,False,3
551,7709098033,1801,125,True,5
552,7709079503,1979,197,False,3
553,7709045287,1831,46,True,3
554,7709043093,2051,173,False,5
555,7708964824,2197,42,False,3
556,7708935023,1803,192,True,3
557,7708905008,1792,126,True,3
558,7708871615,1698,254,True,3
559,7708828624,2054,6,True,3
560,7708812429,3173,227,False,2
561,7708768419,2426,141,True,3
562,7708737441,2120,89,False,2
563,7708717497,2967,59,False,3
564,7708711648,1752,135,True,3
565,7708647986,2037,283,False,3
566,7708646033,1881,100,True,2
567,7708577966,2875,213,False,3
568,7708492512,2508,15,False,15
569,7708457781,2930,110,False,3
570,7708341116,3110,7,False,15
571,7708279810,1719,56,True,3
572,7708205107,2199,170,True,3
573,7708181449,2101,55,False,3
574,7708169116,2449,18,False,3
575,7708026712,2203,311,False,3
576,7708000334,3258,72,True,3
577,7707965067,3113,388,False,3
578,7707928980,1794,0,True,3
579,7707840434,1598,0,True,3
580,7707764818,3172,237,False,3
581,7707751863,3288,138,True,3
582,7707732260,1498,237,True,8
583,7707664261,2100,142,True,3
584,7707660658,2126,244,True,3
585,7707657225,1952,132,True,8
586,7707641006,1563,191,True,5
587,7707578090,1660,8,False,5
588,7707558388,2949,94,True,8
589,7707488692,2207,163,True,5
590,7707463826,1254,168,True,5
591,7707437861,2897,201,False,8
592,7707410964,1493,0,True,5
593,7707404176,1777,96,True,5
594,7707362560,2023,114,True,8
595,7707318221,1334,0,True,5
596,7707271756,1127,0,True,5
597,7707248742,2412,315,False,5
598,7707198949,1003,178,True,5
599,7707055782,2420,279,True,15
600,7706933571,1746,173,False,3
601,7706904367,1724,331,True,3
602,7706892890,1834,116,True,15
603,7706880000,2182,187,True,3
604,7706866747,1832,123,False,3
605,7706827441,2084,70,True,15
606,7706825265,1720,94,True,3
607,7706776644,3407,0,True,3
608,7706769042,1765,61,True,3
609,7706707325,2121,73,False,3
610,7706682984,2014,248,True,3
611,7706551337,2596,435,False,3
612,7706539652,2259,59,False,15
613,7706408676,2579,263,False,unknown
614,7706395166,3007,0,False,3
615,7706364242,2511,2,False,8
616,7706360170,2251,145,False,3
617,7706257513,2119,103,True,3
618,7706226073,3031,67,True,8
619,7706202114,4730,219,True,3
620,7706078272,2040,147,True,8
621,7706030717,3055,143,False,8
622,7706002180,1905,0,False,3
623,7705971044,2243,75,False,8
624,7705942105,1613,174,True,8
625,7705871981,2379,0,False,8
626,7705856776,1361,251,True,8
627,7705829352,3253,9,False,3
628,7705756867,1259,4,False,8
629,7705740779,2150,5,False,3
630,7705720550,1630,106,True,3
631,7705705991,1893,261,False,8
632,7705666564,2135,116,False,3
633,7705657452,1349,118,True,3
634,7705655394,1196,7,True,8
635,7705653145,3820,80,True,8
636,7705624457,2464,80,False,5
637,7705621834,1136,85,False,3
638,7705610920,2099,73,False,3
639,7705599168,1487,331,True,3
640,7705590001,1832,0,True,5
641,7705582409,1352,226,True,3
642,7705567990,2254,93,True,8
643,7705567735,1473,203,True,3
644,7705561245,1713,58,True,3
645,7705557154,2482,89,True,5
646,7705555095,1398,0,False,5
647,7705536135,2215,366,False,3
648,7705519254,1712,335,True,3
649,7705517314,1783,252,False,8
650,7705507692,1847,196,True,3
651,7705488242,1701,324,True,3
652,7705484748,699,110,True,5
653,7705463998,1801,59,False,3
654,7705460259,2160,114,True,3
655,7705447352,2042,236,True,3
656,7705446771,1522,249,False,5
657,7705440440,1695,114,True,5
658,7705424525,2021,59,False,3
659,7705418886,2164,39,True,3
660,7705418483,1381,17,True,3
661,7705390863,2055,145,False,5
662,7705389652,1619,67,True,3
663,7705387318,1598,160,True,3
664,7705382559,1833,423,False,3
665,7705356446,1510,86,True,3
666,7705347122,1976,129,True,3
667,7705346212,2265,106,False,3
668,7705317973,1674,91,False,3
669,7705272763,1573,555,True,3
670,7705239962,1646,58,True,3
671,7705209755,1940,253,True,3
672,7705182106,1833,125,True,3
673,7705151026,2221,76,False,3
674,7705106974,2505,84,False,3
675,7705092243,1882,0,False,2
676,7705068245,1560,30,True,3
677,7705038635,2019,188,True,2
678,7705014424,2163,317,False,3
679,7705004749,2501,85,True,8
680,7704966011,1649,184,False,3
681,7704957602,1566,0,True,2
682,7704938587,1878,0,True,8
683,7704864852,1901,0,True,8
684,7704819915,1843,117,True,15
685,7704777804,1322,108,True,8
686,7704757666,3227,126,False,3
687,7704685513,1914,72,True,8
688,7704680511,2994,207,True,15
689,7704575131,2713,77,True,8
690,7704496875,1898,156,False,8
691,7704459920,2104,46,True,3
692,7704430692,2769,33,False,8
693,7704361053,2403,166,False,8
694,7704307968,2785,19,True,8
695,7704262571,2684,32,True,3
696,7704242116,1761,109,False,8
697,7704197024,2229,5,True,8
698,7704136513,1788,0,True,8
699,7704117144,2695,243,False,3
700,7704103400,1475,124,False,3
701,7704058602,2131,0,True,8
702,7704048134,1469,154,False,3
703,7704037431,3173,7,False,8
704,7704010804,2562,139,False,3
705,7703996024,1717,111,False,3
706,7703993151,2040,1,True,8
707,7703978207,1810,229,True,8
708,7703970344,1799,93,True,3
709,7703951073,2655,349,True,5
710,7703944898,1262,152,True,3
711,7703934521,1353,208,False,3
712,7703913425,1247,38,False,8
713,7703902499,2721,137,False,5
714,7703890426,2474,8,True,5
715,7703887289,2053,182,True,3
716,7703879771,2543,218,True,3
717,7703852387,1436,255,False,3
718,7703842834,2363,222,False,5
719,7703835439,2526,19,True,8
720,7703830320,1700,203,True,3
721,7703828566,2197,28,False,5
722,7703826300,1695,146,False,3
723,7703802827,2414,59,False,3
724,7703786438,1895,69,True,3
725,7703785886,1852,110,False,3
726,7703771677,1599,84,True,5
727,7703770676,1657,283,True,3
728,7703751618,1637,58,True,3
729,7703750779,1588,0,True,3
730,7703739107,1388,108,True,3
731,7703734399,1483,10,False,5
732,7703728788,1841,84,True,5
733,7703717161,1292,160,False,3
734,7703711540,1892,85,True,3
735,7703707175,1616,196,True,3
736,7703695073,1430,159,False,5
737,7703679765,1817,86,False,3
738,7703675665,1753,311,False,3
739,7703674950,2194,121,False,3
740,7703646083,1690,206,False,3
741,7703644615,1677,399,False,3
742,7703640885,1990,44,False,3
743,7703607260,1779,251,True,3
744,7703506492,1881,177,False,3
745,7703472243,2246,148,True,3
746,7703444595,1675,108,True,3
747,7703412342,1613,92,True,3
748,7703405609,2731,3,True,15
749,7703373760,2093,311,True,3
750,7703361459,1946,0,False,15
751,7703332950,1596,133,True,3
752,7703270583,2915,3,True,unknown
753,7703270277,2085,208,False,3
754,7703253005,2178,375,True,3
755,7703248953,2786,280,True,3
756,7703246309,1873,0,False,3
757,7703188840,2641,89,False,3
758,7703156749,1670,11,False,15
759,7703129966,2679,88,False,3
760,7703127845,1320,4,True,3
761,7703127841,3172,0,True,3
762,7703122772,2690,18,True,3
763,7703120654,2495,7,True,3
764,7703021576,2095,77,True,3
765,7703014560,2002,336,False,3
766,7703003837,2460,129,False,3
767,7702992543,3062,32,True,unknown
768,7702981469,2505,198,True,3
769,7702954024,2820,7,False,3
770,7702908110,2605,0,False,3
771,7702817490,2773,152,True,3
772,7702805889,1534,208,True,3
773,7702801905,2191,267,False,3
774,7702773107,2852,79,True,3
775,7702770357,2622,138,True,3
